Date,Real_Return_J1,Predicted_Return_J1
2024-04-03,-0.0,1.9067609654625508e-05
2024-04-04,0.0,1.9067609654625508e-05
2024-04-05,0.0,1.9067609654625508e-05
2024-04-08,0.0,1.9067609654625508e-05
2024-04-09,-0.0,1.9067609654625508e-05
2024-04-10,-0.0,1.9067609654625508e-05
2024-04-11,-0.0,1.9067609654625508e-05
2024-04-12,-0.0,1.9067609654625508e-05
2024-04-15,-0.0,1.9067609654625508e-05
2024-04-16,0.0,1.9067609654625508e-05
2024-04-17,0.0,1.9067609654625508e-05
2024-04-18,0.0,1.9067609654625508e-05
2024-04-19,0.0,1.9067609654625508e-05
2024-04-22,0.0,1.9067609654625508e-05
2024-04-23,0.0,1.9067609654625508e-05
2024-04-24,0.0,1.9067609654625508e-05
2024-04-25,0.0,1.9067609654625508e-05
2024-04-26,0.0,1.9067609654625508e-05
2024-04-29,-0.0,1.9067609654625508e-05
2024-04-30,0.0,1.9067609654625508e-05
2024-05-01,0.0,1.9067609654625508e-05
2024-05-02,0.0,1.9067609654625508e-05
2024-05-03,0.0,1.9067609654625508e-05
2024-05-06,0.0,1.9067609654625508e-05
2024-05-07,0.0,1.9067609654625508e-05
2024-05-08,0.0,1.9067609654625508e-05
2024-05-09,0.0,1.9067609654625508e-05
2024-05-10,-0.0,1.9067609654625508e-05
2024-05-13,-0.0,1.9067609654625508e-05
2024-05-14,0.0,1.9067609654625508e-05
2024-05-15,-0.0,1.9067609654625508e-05
2024-05-16,0.0,1.9067609654625508e-05
2024-05-17,-0.0,1.9067609654625508e-05
2024-05-20,0.0,1.9067609654625508e-05
2024-05-21,-0.0,1.9067609654625508e-05
2024-05-22,-0.0,1.9067609654625508e-05
2024-05-23,0.0,1.9067609654625508e-05
2024-05-24,0.0,1.9067609654625508e-05
2024-05-28,-0.0,1.9067609654625508e-05
2024-05-29,0.0,1.9067609654625508e-05
2024-05-30,0.0,1.9067609654625508e-05
2024-05-31,-0.0,1.9067609654625508e-05
2024-06-03,0.0,1.9067609654625508e-05
2024-06-04,0.0,1.9067609654625508e-05
2024-06-05,0.0,1.9067609654625508e-05
2024-06-06,-0.0,1.9067609654625508e-05
2024-06-07,0.0,1.9067609654625508e-05
2024-06-10,0.0,1.9067609654625508e-05
2024-06-11,0.0,1.9067609654625508e-05
2024-06-12,0.0,1.9067609654625508e-05
2024-06-13,-0.0,1.9067609654625508e-05
2024-06-14,0.0,1.9067609654625508e-05
2024-06-17,0.0,1.9067609654625508e-05
2024-06-18,0.0,1.9067609654625508e-05
2024-06-20,0.0,1.9067609654625508e-05
2024-06-21,-0.0,1.9067609654625508e-05
2024-06-24,-0.0,1.9067609654625508e-05
2024-06-25,0.0,1.9067609654625508e-05
2024-06-26,0.0,1.9067609654625508e-05
2024-06-27,0.0,1.9067609654625508e-05
2024-06-28,-0.0,1.9067609654625508e-05
2024-07-01,-0.0,1.9067609654625508e-05
2024-07-02,0.0,1.9067609654625508e-05
2024-07-03,0.0,1.9067609654625508e-05
2024-07-05,0.0,1.9067609654625508e-05
2024-07-08,-0.0,1.9067609654625508e-05
2024-07-09,0.0,1.9067609654625508e-05
2024-07-10,0.0,1.9067609654625508e-05
2024-07-11,0.0,1.9067609654625508e-05
2024-07-12,0.0,1.9067609654625508e-05
2024-07-15,0.0,1.9067609654625508e-05
2024-07-16,0.0,1.9067609654625508e-05
2024-07-17,-0.0,1.9067609654625508e-05
2024-07-18,-0.0,1.9067609654625508e-05
2024-07-19,0.0,1.9067609654625508e-05
2024-07-22,0.0,1.9067609654625508e-05
2024-07-23,-0.0,1.9067609654625508e-05
2024-07-24,0.0,1.9067609654625508e-05
2024-07-25,0.0,1.9067609654625508e-05
2024-07-26,0.0,5.3099642343498834e-05
2024-07-29,0.0,5.3099642343498834e-05
2024-07-30,0.0,5.3099642343498834e-05
2024-07-31,-0.0,1.9067609654625508e-05
2024-08-01,-0.0,1.9067609654625508e-05
2024-08-02,-0.0,7.189111664479501e-05
2024-08-05,0.0,5.3099642343498834e-05
2024-08-06,-0.0,5.3099642343498834e-05
2024-08-07,0.008517076516062705,0.00580125240058814
2024-08-08,-0.007688400021847341,0.009705715513778345
2024-08-09,-0.001173467665992467,0.009529761321014256
2024-08-12,-0.004695272044019427,0.00924507369143216
2024-08-13,0.007173465820124125,0.010394705361469192
2024-08-14,0.00013207728343056502,0.006756383795917354
2024-08-15,0.009335562069436198,0.016376086920058194
2024-08-16,0.0,-0.00011360926410432073
2024-08-19,0.0,2.8604876945404046e-05
2024-08-20,0.0,5.3099642343498834e-05
2024-08-21,-0.0,1.9067609654625508e-05
2024-08-22,0.0,3.785908395592173e-05
2024-08-23,0.0,5.3099642343498834e-05
2024-08-26,-0.0,1.9067609654625508e-05
2024-08-27,0.0,1.9067609654625508e-05
2024-08-28,-0.0,1.9067609654625508e-05
2024-08-29,0.0,1.9067609654625508e-05
2024-08-30,0.005011631015415907,0.008589557033544238
2024-09-03,0.0026946451576724817,0.011309405412764382
2024-09-04,-0.0005095770143660472,0.013724757793480284
2024-09-05,-0.007056977122050667,0.01620513063705639
2024-09-06,0.00668391673755786,0.009588006228306634
2024-09-09,-0.007210057307933226,0.01107739779794198
2024-09-10,-0.00035229167913053416,0.008538662523604133
2024-09-11,0.004256789458837451,0.007519576370109232
2024-09-12,0.011025509080206497,0.014137250378899152
2024-09-13,0.0,-1.0313430661254162e-05
2024-09-16,0.0,7.189111664479501e-05
2024-09-17,0.0,5.3099642343498834e-05
2024-09-18,0.0,5.3099642343498834e-05
2024-09-19,-0.0,1.9067609654625508e-05
2024-09-20,0.0,1.9067609654625508e-05
2024-09-23,0.0,1.9067609654625508e-05
2024-09-24,-0.0,1.9067609654625508e-05
2024-09-25,0.0,1.9067609654625508e-05
2024-09-26,0.0,1.9067609654625508e-05
2024-09-27,0.0,1.9067609654625508e-05
2024-09-30,0.0,1.9067609654625508e-05
2024-10-01,0.0,1.9067609654625508e-05
2024-10-02,0.0,1.9067609654625508e-05
2024-10-03,-0.0,1.9067609654625508e-05
2024-10-04,-0.0,1.9067609654625508e-05
2024-10-07,0.0,1.9067609654625508e-05
2024-10-08,0.0,1.9067609654625508e-05
2024-10-09,-0.0,1.9067609654625508e-05
2024-10-10,0.0,1.9067609654625508e-05
2024-10-11,0.0,1.9067609654625508e-05
2024-10-14,0.0,1.9067609654625508e-05
2024-10-15,0.0,1.9067609654625508e-05
2024-10-16,-0.0,1.9067609654625508e-05
2024-10-17,-0.0,1.9067609654625508e-05
2024-10-18,-0.0,1.9067609654625508e-05
2024-10-21,-0.0,1.9067609654625508e-05
2024-10-22,0.0,1.9067609654625508e-05
2024-10-23,0.0,1.9067609654625508e-05
2024-10-24,-0.0,1.9067609654625508e-05
2024-10-25,0.0,1.9067609654625508e-05
2024-10-28,-0.0,1.9067609654625508e-05
2024-10-29,0.0,1.9067609654625508e-05
2024-10-30,0.0,1.9067609654625508e-05
2024-10-31,-0.0,1.9067609654625508e-05
2024-11-01,0.0,1.9067609654625508e-05
2024-11-04,0.0,1.9067609654625508e-05
2024-11-05,0.0,1.9067609654625508e-05
2024-11-06,0.0,1.9067609654625508e-05
2024-11-07,0.0,1.9067609654625508e-05
2024-11-08,0.0,1.9067609654625508e-05
2024-11-11,-0.0,1.9067609654625508e-05
2024-11-12,0.0,1.9067609654625508e-05
2024-11-13,0.0,1.9067609654625508e-05
2024-11-14,0.0,1.9067609654625508e-05
2024-11-15,0.0,1.9067609654625508e-05
2024-11-18,-0.0,1.9067609654625508e-05
2024-11-19,-0.0,1.9067609654625508e-05
2024-11-20,0.0,1.9067609654625508e-05
2024-11-21,0.0,1.9067609654625508e-05
2024-11-22,0.0,1.9067609654625508e-05
2024-11-25,0.0,1.9067609654625508e-05
2024-11-26,-0.0,1.9067609654625508e-05
2024-11-27,0.0,1.9067609654625508e-05
2024-11-29,-0.0,1.9067609654625508e-05
2024-12-02,0.0,1.9067609654625508e-05
2024-12-03,-0.0,1.9067609654625508e-05
2024-12-04,-0.0,1.9067609654625508e-05
2024-12-05,0.0,1.9067609654625508e-05
2024-12-06,-0.0,1.9067609654625508e-05
2024-12-09,-0.0,1.9067609654625508e-05
2024-12-10,0.0,1.9067609654625508e-05
2024-12-11,-0.0,1.9067609654625508e-05
2024-12-12,0.0,1.9067609654625508e-05
2024-12-13,0.0,1.9067609654625508e-05
2024-12-16,-0.0,1.9067609654625508e-05
2024-12-17,-0.0,1.9067609654625508e-05
2024-12-18,-0.0,1.9067609654625508e-05
2024-12-19,0.0,1.9067609654625508e-05
2024-12-20,-0.0,1.9067609654625508e-05
2024-12-23,0.0,1.9067609654625508e-05
2024-12-24,-0.0,1.9067609654625508e-05
2024-12-26,-0.0,1.9067609654625508e-05
2024-12-27,-0.0,1.9067609654625508e-05
2024-12-30,0.0,1.9067609654625508e-05
